Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
002075 CH Equity,JIANGSU SHAGAN-A,16.38M,35.92,1.57,7.17,4.44%,Materials,10.35B,2.78%,1.17%,103.58%,141.77%,-17.55,-0.31
002541 CH Equity,ANHUI HONGLU-A,16.33M,23.86,1.48,--,6.33%,Materials,14.68B,4.19%,3.99%,151.76%,-7.49%,9.75,0.56
601187 CH Equity,XIAMEN BANK CO-A,16.27M,8.72,0.75,--,9.11%,Financials,19.85B,11.47%,1.88%,484.43%,8.37%,20.91,2.01
600033 CH Equity,FUJIAN EXPRESS-A,16.11M,12.55,0.82,4.77,6.70%,Industrials,10.15B,7.97%,6.23%,5.60%,4.49%,9.18,-0.05
605599 CH Equity,BEIJING CAISHI-A,16.06M,21.61,4.21,14.58,20.32%,Consumer Discretionary,17.52B,4.63%,18.87%,3.95%,32.14%,54.95,11.18
LREIT SP Equity,LENDLEASE GLOBAL,15.92M,18.06,0.6,11.18,4.09%,Real Estate,1.86B,5.54%,5.08%,98.53%,182.09%,-8.85,0.11
688352 CH Equity,HEFEI CHIPMORE-A,15.89M,57.05,2.49,--,4.50%,Information Technology,15.07B,1.75%,3.85%,11.09%,30.04%,-9.28,1.84
603567 CH Equity,HEILONGJIANG Z-A,15.84M,--,0.85,26.17,-4.42%,Health Care,6.18B,-5.38%,-1.98%,45.22%,-73.50%,-45.48,-3.65
600929 CH Equity,SNOWSKY SALT I-A,15.82M,--,1.32,--,-0.03%,Materials,10.14B,-0.03%,0.28%,9.65%,-69.87%,4.92,1.71
600963 CH Equity,YUEYANG FOREST-A,15.70M,--,1.11,--,-3.03%,Materials,8.44B,-2.72%,-0.42%,140.10%,94.12%,6.43,0.52
002507 CH Equity,CHONGQING FULI-A,15.67M,18.37,1.62,38.43,8.80%,Consumer Staples,14.19B,5.44%,7.28%,0.01%,-20.11%,-3.84,-0.65
601860 CH Equity,JIANGSU ZIJIN -A,15.62M,6.71,0.48,--,7.38%,Financials,9.77B,14.91%,3.16%,176.98%,-30.37%,-4.64,0.11
300925 CH Equity,SHENZHEN FARBE-A,15.52M,72.5,3.48,--,4.94%,Information Technology,7.64B,1.38%,3.67%,9.30%,-21.70%,-32.05,-2.69
600787 CH Equity,CMST DEVELOPM-A,15.45M,21.68,0.85,12.11,3.92%,Industrials,11.83B,4.61%,3.78%,16.46%,-126.52%,-8.71,-1.1
300087 CH Equity,WINALL HI-TECH-A,15.32M,411.67,4.42,--,1.07%,Consumer Staples,7.70B,0.24%,1.43%,101.48%,-113.54%,-11.82,-3.5
002434 CH Equity,ZHEJIANG WANLI-A,15.31M,32.76,1.77,48.19,5.53%,Industrials,10.51B,3.05%,3.29%,36.69%,-16.84%,-21.08,1.57
000589 CH Equity,GUIZHOU TYRE-A,15.28M,14.27,0.8,--,5.73%,Consumer Discretionary,7.15B,7.01%,3.59%,71.30%,59.67%,-3.83,0.34
000686 CH Equity,NORTHEAST SECU-A,15.27M,12.81,0.95,--,7.59%,Financials,18.89B,7.81%,2.62%,203.28%,83.77%,-7.69,1.02
603919 CH Equity,JINHUI LIQUOR -A,15.26M,24.58,2.54,--,10.49%,Consumer Staples,8.89B,4.07%,9.34%,10.51%,-51.40%,-10.69,-1.61
688153 CH Equity,VANCHIP TIANJ-A,15.24M,811.54,3.61,39.9,0.42%,Information Technology,14.53B,0.12%,-0.75%,5.30%,-47.79%,-1.52,2.81
603057 CH Equity,ZIYAN FOODS GROU,15.21M,54.98,5.27,39.62,9.57%,Consumer Staples,10.53B,1.82%,6.87%,53.77%,-31.11%,31.57,3.56
300861 CH Equity,YANGLING METRO-A,15.20M,504.99,1.67,18.73,0.32%,Information Technology,10.59B,0.20%,-0.16%,1.32%,-33.98%,-7.94,4.06
688252 CH Equity,JADARD TECHNOL-A,15.13M,42.96,3.63,--,8.86%,Information Technology,8.93B,2.33%,7.49%,0.07%,-35.72%,-20.93,-0.78
002011 CH Equity,ZHEJIANG DUN'A-A,15.12M,10.6,1.96,13.03,20.30%,Industrials,12.52B,9.43%,13.26%,34.96%,27.93%,-18.76,1.16
600185 CH Equity,ZHUHAI ZHUMIAN G,15.07M,--,18.7,43.43,-44.54%,Real Estate,10.71B,-10.85%,-3.27%,374.34%,28.50%,-6.73,-1.1
603323 CH Equity,JIANGSU SUZHOU-A,15.03M,4.78,0.52,--,11.32%,Financials,9.69B,20.92%,5.80%,129.82%,2.44%,-5.33,0.48
601059 CH Equity,CINDA SECURITI-A,14.99M,28.48,2.55,--,9.38%,Financials,53.64B,3.51%,2.20%,242.49%,-9.75%,-14.28,2.24
600210 CH Equity,SHANG ZI JIANG-A,14.98M,8.38,1.57,--,19.87%,Materials,10.45B,11.94%,9.67%,58.04%,192.71%,-6.77,1.02
601089 CH Equity,BEIJING WINSUN-A,14.97M,23.8,2.96,151.21,12.97%,Health Care,11.17B,4.20%,11.96%,0.77%,-0.80%,3.65,9.26
002605 CH Equity,SHANGHAI YAOJI-A,14.96M,16.99,2.31,18.89,14.17%,Consumer Discretionary,8.64B,5.89%,11.83%,27.21%,-9.01%,-24.8,-4.64
CIT SP Equity,CITY DEVELOPS,14.93M,12.14,0.81,--,6.84%,Real Estate,7.54B,8.23%,3.28%,136.98%,694.21%,19.55,4.05
600997 CH Equity,KAILUAN ENERGY-A,14.90M,26.34,0.65,--,-0.23%,Materials,9.19B,3.80%,1.85%,36.44%,6.14%,-19.25,-0.22
688690 CH Equity,SUZHOU NANOMIC-A,14.88M,70.94,5.62,206.76,8.28%,Materials,10.61B,1.41%,7.67%,2.13%,19.65%,-5.37,11.06
301000 CH Equity,SHANGHAI HAJIM-A,14.77M,49.43,5.74,87.43,12.16%,Materials,7.14B,2.02%,11.66%,0.41%,58.24%,-37.35,-7.22
600037 CH Equity,BEIJING GEHUA-A,14.76M,--,0.83,31.51,-0.44%,Communication Services,10.56B,-0.53%,-1.51%,1.66%,53.73%,-5.12,0.73
603809 CH Equity,CHENGDU HAONEN-A,14.69M,26.86,2.69,--,11.34%,Consumer Discretionary,9.83B,3.72%,7.47%,62.92%,-28.17%,-32.15,-0.39
002243 CH Equity,SHENZHEN LEAGU-A,14.56M,59.01,1.43,--,2.42%,Materials,10.44B,1.69%,0.16%,64.81%,-69.08%,-10.58,1.11
SSG SP Equity,SHENG SIONG GROU,14.56M,32.08,8.16,21.8,26.62%,Consumer Staples,4.80B,3.12%,19.56%,29.51%,17.16%,49.07,1.56
688522 CH Equity,NARUIDA TECHNO-A,14.55M,78.06,4.25,67.88,5.55%,Information Technology,9.66B,1.28%,4.04%,0.13%,-47.59%,-25.46,-17.06
002096 CH Equity,EXPLOSIVE CO L-A,14.52M,18.2,1.81,24.11,10.27%,Materials,14.43B,5.49%,8.57%,12.20%,-34.67%,-17.11,0.01
688686 CH Equity,OPT MACHINE VI-A,14.50M,61.81,3.76,100.65,6.23%,Information Technology,11.52B,1.62%,5.72%,2.03%,265.91%,-30.49,26.81
300595 CH Equity,OVCTEK CHINA I-A,14.49M,26.23,2.56,28.12,9.98%,Health Care,12.57B,3.81%,8.79%,4.85%,13.28%,-15.69,-0.38
002649 CH Equity,BEYONDSOFT COR-A,14.48M,52.64,1.6,24.46,3.06%,Information Technology,6.79B,1.90%,2.57%,5.92%,-43.77%,-17.26,0.31
300075 CH Equity,BEIJING EGOVA-A,14.43M,--,2.19,--,-12.58%,Information Technology,7.73B,-6.13%,-13.87%,0.76%,15.01%,-22.53,-2.9
601528 CH Equity,ZHEJIANG SHAOX-A,14.42M,5.19,0.52,--,10.17%,Financials,10.24B,19.26%,4.74%,190.28%,-10.31%,-2.61,0.44
KDCREIT SP Equity,KEPPEL DC REIT,14.42M,12.62,1.35,--,11.35%,Real Estate,5.62B,7.92%,5.10%,56.51%,31.33%,-1.5,0.44
688209 CH Equity,SHENZHEN INJOI-A,14.41M,58.86,4.27,57.07,7.50%,Information Technology,9.08B,1.70%,6.82%,3.90%,20.75%,-6.18,3.04
605011 CH Equity,HANGZHOU COGEN-A,14.37M,40.92,3.18,735.32,8.00%,Utilities,7.66B,2.44%,4.48%,27.07%,-30.27%,-12.64,-5.33
002194 CH Equity,WUHAN FING -A,14.34M,--,2.94,107.16,-0.14%,Information Technology,7.31B,-0.05%,-0.95%,2.78%,136.33%,-20.62,0.52
300360 CH Equity,HANGZHOU SUNRI-A,14.31M,13.7,1.96,18.67,14.78%,Information Technology,8.26B,7.30%,12.38%,3.29%,-40.70%,1.09,1.34
002978 CH Equity,SICHUAN ANNING-A,14.30M,18.44,1.84,--,10.82%,Materials,15.71B,5.42%,8.76%,34.23%,-30.64%,-0.95,3.93
300188 CH Equity,SDIC INTELLIGENC,14.29M,--,3.39,--,-15.86%,Information Technology,10.55B,-5.14%,-13.84%,19.02%,-37.80%,-20.99,-0.4
600064 CH Equity,NANJING GAOKE-A,14.28M,6.18,0.73,--,12.02%,Real Estate,14.36B,16.19%,-0.94%,51.76%,-8.79%,-1.89,1.86
601718 CH Equity,JIHUA GROUP CO-A,14.28M,--,1.07,268.26,-29.87%,Industrials,13.08B,-33.16%,-26.35%,17.70%,-64.10%,-16.2,0.47
603556 CH Equity,HEXING ELECTRI-A,14.26M,17.71,2.26,38.99,13.23%,Information Technology,16.68B,5.65%,9.71%,7.21%,27.83%,12.42,3.2
688182 CH Equity,JIANGSU CAI QI-A,14.24M,118.79,5.06,--,4.27%,Information Technology,11.32B,0.84%,3.32%,5.54%,326.99%,6.15,6.27
600975 CH Equity,HUNAN NEW -A,14.14M,223.51,2.27,9.72,0.83%,Consumer Staples,6.76B,0.45%,2.43%,235.28%,253.27%,-15.34,-1.27
002158 CH Equity,SHANGHAI HANBE-A,14.12M,23.55,2.88,58.77,12.65%,Industrials,12.55B,4.25%,9.66%,22.07%,-49.55%,-8.36,8.07
002967 CH Equity,GRG METROLOGY -A,14.12M,28.04,3.3,26.71,12.22%,Industrials,13.01B,3.57%,8.55%,48.48%,-6.10%,6.24,0.24
300820 CH Equity,SICHUAN INJET -A,14.09M,47.39,3.99,21.24,8.70%,Industrials,10.12B,2.11%,7.59%,2.08%,-40.82%,-21.93,3.69
002697 CH Equity,CHENGDU HONGQI-A,13.97M,14.96,1.52,6,10.39%,Consumer Staples,7.29B,6.68%,7.26%,14.00%,-23.95%,-4.46,-0.33
601900 CH Equity,SOUTHERN PUBLI-A,13.94M,10.43,1.36,9.11,13.60%,Communication Services,11.78B,9.58%,11.31%,17.79%,66.08%,1.44,-2
001391 CH Equity,AIR CHINA CARG-A,13.93M,25.1,2.4,--,10.05%,Industrials,64.34B,3.98%,9.93%,0.57%,17.88%,-20.15,-1.94
600717 CH Equity,TIANJIN PORT -A,13.89M,13.19,0.65,10.09,4.97%,Industrials,13.08B,7.58%,4.12%,16.52%,90.04%,-5.24,0.1
688439 CH Equity,GUIZHOU ZHENHU-A,13.86M,60.7,2.01,--,3.36%,Information Technology,10.03B,1.65%,3.29%,3.23%,3.82k%,-14.32,-14.59
002777 CH Equity,SICHUAN JIUYUA-A,13.86M,84.42,3.92,--,4.58%,Information Technology,6.61B,1.18%,3.86%,1.53%,2.51%,-15.5,0.02
603100 CH Equity,CHONGQING CHUA-A,13.67M,14.92,2.18,10.56,15.32%,Information Technology,10.16B,6.70%,9.59%,28.99%,-22.28%,-19.34,-2.37
UOL SP Equity,UOL GROUP LTD,13.59M,17.66,0.72,15.38,4.13%,Real Estate,8.53B,5.66%,2.91%,27.85%,46.31%,26.51,4.79
002911 CH Equity,FORAN ENERGY G-A,13.55M,19.95,12.4,14.97,30.08%,Utilities,18.21B,5.01%,5.99%,37.19%,93.70%,8.55,3.71
301262 CH Equity,HICON NETWORK -A,13.54M,24.71,2.51,--,10.43%,Communication Services,9.63B,4.05%,9.44%,0.00%,-14.78%,-2.93,1.76
603915 CH Equity,JIANGSU GUOMAO-A,13.54M,35.95,2.66,36.37,7.43%,Industrials,9.80B,2.78%,5.40%,17.33%,53.10%,-14.24,0.36
601236 CH Equity,HONGTA SECURIT-A,13.52M,29.75,1.41,--,4.89%,Financials,35.75B,3.36%,2.29%,112.85%,222.29%,-17.96,0.48
000719 CH Equity,CENTRAL CHINA-A,13.49M,11.04,1.21,10.86,11.21%,Communication Services,14.03B,9.06%,10.21%,2.22%,33.22%,14.06,3.02
000498 CH Equity,SHANDONG HI-SP-A,13.45M,4.05,0.73,--,14.43%,Industrials,8.82B,24.71%,4.29%,100.98%,-17.72%,-9.62,0.29
300284 CH Equity,JSTI GROUP-A,13.40M,54.9,0.98,19.41,1.79%,Industrials,8.25B,1.82%,1.39%,35.22%,-31.65%,-25.03,-2.09
688165 CH Equity,EFORT INTELLIGEN,13.24M,--,5.75,--,-15.77%,Industrials,8.63B,-2.93%,-10.50%,71.78%,-151.99%,-31.47,-6.07
603383 CH Equity,FUJIAN APEX SO-A,13.23M,29.78,4,26.4,13.65%,Information Technology,5.83B,3.36%,12.88%,0.00%,11.52%,-32.6,-7.31
002226 CH Equity,ANHUI JIANGNAN-A,13.22M,17.85,1.4,20.45,8.23%,Materials,14.38B,5.60%,6.98%,41.77%,-22.34%,-23.95,0.08
600422 CH Equity,KPC PHARMACEUT-A,13.22M,24.44,1.6,48.72,6.59%,Health Care,8.56B,4.09%,4.32%,27.99%,-93.54%,-19.67,-5.62
300482 CH Equity,GUANGZHOU WOND-A,13.15M,33.4,1.52,144.93,4.73%,Health Care,8.34B,2.99%,4.21%,10.73%,-21.49%,-18.03,-2.93
002215 CH Equity,SHENZHEN NOPOS-A,13.15M,15.14,2.51,--,16.79%,Materials,10.42B,6.61%,7.53%,154.92%,18.04%,-18.54,1.76
000403 CH Equity,PACIFIC SHUANG-A,13.11M,21.68,1.51,--,7.06%,Health Care,12.11B,4.61%,6.27%,12.92%,-39.49%,-21.79,-6.01
300492 CH Equity,HUATU CENDES-A,13.08M,64.02,27.29,20.6,45.36%,Industrials,11.05B,1.56%,18.64%,199.66%,37.68%,-20.76,-2.18
301622 CH Equity,BAOTOU INST MA-A,13.02M,31.3,4.98,--,15.95%,Industrials,7.40B,3.19%,11.43%,25.73%,20.78%,-22.36,-0.13
688575 CH Equity,SHENZHEN YHLO -A,12.99M,57.83,3.1,130.8,5.35%,Health Care,8.38B,1.73%,4.64%,38.13%,9.76%,0.41,-0.16
600461 CH Equity,JIANGXI HONGCH-A,12.93M,10.24,1.27,29.24,12.79%,Utilities,12.33B,9.77%,7.83%,73.17%,12.46%,6.79,0.35
600908 CH Equity,WUXI RURAL COM-A,12.92M,5.59,0.55,--,10.12%,Financials,12.33B,17.89%,7.73%,69.60%,-2.99%,-3.51,0.52
601369 CH Equity,XI'AN SHAANGU-A,12.89M,17.37,1.98,16.53,11.50%,Industrials,17.77B,5.76%,6.26%,52.29%,2.34%,20.58,2.45
1099 HK Equity,SINOPHARM-H,12.88M,8.02,0.68,4.66,8.78%,Health Care,65.78B,12.47%,4.74%,80.93%,12.33%,11.65,3.84
601022 CH Equity,NINGBO OCEAN S-A,12.83M,17.96,1.9,--,10.98%,Industrials,11.66B,5.57%,9.17%,16.75%,-18.83%,-11.34,1.08
688586 CH Equity,HEFEI JIANGHAN-A,12.82M,179.88,4.27,--,2.21%,Industrials,10.56B,0.56%,1.30%,3.83%,-87.78%,20.27,3.99
002690 CH Equity,HEFEI MEIYA OP-A,12.71M,21.86,5.37,17.03,25.17%,Industrials,15.72B,4.57%,23.06%,1.96%,-0.90%,-13.16,2.25
300171 CH Equity,TOFFLON SCIENC-A,12.71M,64.33,1.42,25.45,2.21%,Health Care,11.19B,1.55%,1.85%,1.03%,143.87%,-0.88,3.25
002946 CH Equity,NEW HOPE DAIRY-A,12.70M,21.89,4.08,18.07,21.04%,Consumer Staples,15.91B,4.57%,12.48%,61.23%,30.14%,5.09,0.24
MLT SP Equity,MAPLETREE LOG TR,12.68M,35.74,0.94,25.71,2.48%,Real Estate,6.08B,2.80%,2.64%,78.42%,-52.07%,-2.94,0.19
IFAST SP Equity,IFAST CORP LTD,12.62M,28.46,7.17,5.29,27.98%,Financials,2.87B,3.51%,23.37%,16.97%,74.56%,0.03,3.11
300809 CH Equity,HIECISE PRECIS-A,12.60M,179.61,5.07,49.53,2.91%,Industrials,8.35B,0.56%,1.12%,4.04%,-81.97%,-21.06,-5.1
002045 CH Equity,GUOGUANG ELECT-A,12.54M,226.15,1.49,--,0.65%,Consumer Discretionary,6.60B,0.44%,-0.87%,87.03%,-65.72%,-34.67,-1.68
688206 CH Equity,PRIMARIUS TECH-A,12.50M,4.83k,6.97,--,0.16%,Information Technology,14.10B,0.02%,-0.92%,2.18%,-32.96%,-23.71,8.93
002023 CH Equity,SICHUAN HAITE-A,12.46M,59.65,1.75,32.86,2.96%,Industrials,7.64B,1.68%,2.60%,37.52%,1.25k%,-16.52,1.38
603733 CH Equity,XIANHE CO LTD-A,12.46M,16.32,1.85,--,11.76%,Materials,15.73B,6.13%,5.43%,149.77%,12.58%,-4.47,2.1
603713 CH Equity,MILKYWAY INTEL-A,12.43M,16,2.02,14.33,13.79%,Industrials,9.45B,6.25%,7.46%,110.66%,-0.31%,-4.99,13.09
002626 CH Equity,XIAMEN KINGDOM-A,12.43M,22.56,2.4,58.37,11.26%,Health Care,10.88B,4.43%,7.16%,66.76%,9.17%,-13.02,3.72
300294 CH Equity,CHINA RESOURCE-A,12.43M,81.89,1.26,--,1.51%,Health Care,9.37B,1.22%,1.00%,4.48%,27.57%,-25.95,-10.59
600058 CH Equity,MINMETALS DEVE-A,12.42M,--,2.42,11.98,0.39%,Industrials,11.82B,-0.04%,0.94%,118.81%,-73.68%,18.73,4.29
600559 CH Equity,HEBEI HENGSHUI-A,12.41M,19.19,2.32,--,12.21%,Consumer Staples,12.24B,5.21%,11.29%,0.00%,-69.80%,-21.43,-4.11
605507 CH Equity,GUOBANG PHARMA-A,12.41M,17.41,1.68,54.18,9.89%,Health Care,14.36B,5.74%,8.14%,19.32%,-25.93%,10.4,6.78
603299 CH Equity,JIANG SU SUYAN-A,12.36M,17.31,1.47,--,8.67%,Materials,11.07B,5.78%,5.89%,38.96%,-73.53%,6.53,1.79
688631 CH Equity,NANJING LES IN-A,12.32M,134.46,4.74,--,3.51%,Industrials,8.58B,0.74%,3.17%,1.31%,1.28%,-42.16,-26.56
868 HK Equity,XINYI GLASS,12.28M,16.47,1.23,16.97,7.68%,Industrials,45.35B,6.07%,6.19%,13.04%,186.15%,12.64,3.28
002093 CH Equity,GUOMAI-A,12.23M,43.63,2.46,48.55,5.79%,Information Technology,9.59B,2.29%,3.55%,0.00%,-24.59%,-15.9,-0.76
300770 CH Equity,GUANGDONG SOUT-A,12.21M,12.25,2.32,62.13,19.58%,Communication Services,9.05B,8.16%,18.47%,0.09%,14.30%,-12.57,5.35
603395 CH Equity,CNSIG ANHUI HO-A,12.18M,128.73,5.23,--,4.49%,Materials,7.30B,0.78%,2.59%,19.94%,-60.79%,-18.06,-8.17
600269 CH Equity,JIANGXI GANYUE-A,12.02M,8.21,0.54,9.66,6.71%,Industrials,10.44B,12.18%,4.86%,44.86%,-23.24%,-8.96,-0.22
600167 CH Equity,LUENMEI QUANTU-A,11.90M,20.63,1.32,13.89,6.38%,Utilities,14.55B,4.85%,3.99%,22.64%,-1.36k%,-31.23,1.15
002701 CH Equity,ORG TECHNOLOGY-A,11.90M,11.78,1.33,10.4,11.71%,Materials,13.03B,8.49%,4.38%,136.32%,-17.50%,-10.54,0.44
301589 CH Equity,XI'AN NOVASTAR-A,11.84M,26.03,3.89,52.82,15.49%,Information Technology,15.18B,3.84%,12.48%,22.50%,-2.54%,-6.69,18.17
600557 CH Equity,JIANGSU KANION-A,11.77M,33.09,1.65,--,4.75%,Health Care,7.80B,3.02%,4.66%,0.90%,-17.74%,-10.58,0.93
688486 CH Equity,LONTIUM SEMICO-A,11.68M,46.36,5.4,669.31,11.49%,Information Technology,8.15B,2.16%,10.80%,0.01%,79.43%,-16.29,-11.55
GENS SP Equity,GENTING SINGAPOR,11.67M,21.22,1.01,39.21,4.73%,Consumer Discretionary,8.28B,4.71%,1.78%,0.03%,-31.03%,-5.52,0.02
300841 CH Equity,CHENGDU KANGHU-A,11.60M,40.91,2.09,20.33,5.22%,Health Care,7.34B,2.44%,4.88%,4.27%,-28.11%,-26.61,-1.06
000503 CH Equity,CHINA REFORM -A,11.49M,--,6.02,--,-8.92%,Health Care,7.62B,-1.55%,-10.74%,34.92%,-31.73%,-22.97,-2.57
000156 CH Equity,WASU MEDIA HOL-A,11.46M,30.94,0.93,16.89,3.11%,Communication Services,13.95B,3.23%,1.80%,18.75%,-8.16%,-5.64,0.11
600529 CH Equity,SHANDONG PHAR-A,11.45M,17.65,1.47,--,8.46%,Health Care,12.20B,5.67%,7.57%,6.50%,-11.07%,-14.62,-3.04
002727 CH Equity,YIXINTANG PHAR-A,11.45M,79.27,0.98,4.46,1.20%,Consumer Staples,7.34B,1.26%,1.50%,59.37%,-58.33%,-10.68,0.14
003006 CH Equity,CHONGQING BAIY-A,11.43M,25.69,5.11,68.67,20.48%,Consumer Staples,7.50B,3.89%,19.15%,2.54%,-11.79%,-31.12,-7.02
301047 CH Equity,SINO BIOLOGICA-A,11.38M,67.02,1.68,73.96,2.41%,Health Care,8.89B,1.49%,1.09%,0.99%,67.90%,-0.71,17.16
002267 CH Equity,SHAANXI NATURA-A,11.36M,12.74,1.31,18.09,10.08%,Utilities,8.60B,7.85%,7.11%,62.40%,45.22%,-7.87,-0.08
301592 CH Equity,SICHUAN 6912 C-A,11.35M,64.01,8.31,--,14.42%,Industrials,7.88B,1.56%,11.84%,36.47%,1.45%,-15.38,-16.54
002882 CH Equity,JIN LONG YU GR-A,11.32M,107,5.41,--,5.03%,Industrials,11.45B,0.93%,2.59%,97.19%,-79.18%,-15.79,12.35
603638 CH Equity,YANTAI EDDIE P-A,11.29M,44.34,4.53,--,10.69%,Industrials,16.71B,2.26%,7.85%,45.77%,27.62%,7.17,2.64
002543 CH Equity,GUANGDONG VANW-A,11.24M,9.28,1.25,265.7,13.99%,Consumer Discretionary,6.34B,10.77%,9.96%,24.93%,-40.62%,-30.96,-0.78
002563 CH Equity,ZHEJIANG SEMIR-A,11.18M,16.1,1.26,12.88,7.69%,Consumer Discretionary,14.39B,6.21%,5.33%,31.85%,-6.75%,-4.32,-1.51
600757 CH Equity,CHANGJIANG PUB-A,11.09M,9.9,1.12,10.53,11.64%,Communication Services,11.04B,10.10%,10.22%,2.71%,7.33%,4.96,0.47
300579 CH Equity,BEIJING CERTIF-A,11.02M,--,9.08,72.2,-11.05%,Information Technology,7.10B,-1.33%,-11.81%,0.86%,-49.40%,-22.64,-0.23
002698 CH Equity,HARBIN BOSHI A-A,11.01M,27.95,3.45,58.3,12.85%,Industrials,13.89B,3.58%,10.75%,11.96%,-20.39%,-21.73,-1.69
300633 CH Equity,SONOSCAPE MEDI-A,11.00M,166.2,3.56,--,2.15%,Health Care,11.17B,0.60%,0.67%,9.81%,79.72%,-26.33,-3.97
001914 CH Equity,CHINA MERC - A,10.93M,15.41,0.94,6.26,6.19%,Real Estate,10.03B,6.49%,5.18%,5.76%,20.87%,-18.28,-2.21
600587 CH Equity,SHINVA MEDICAL-A,10.92M,16.92,1.11,32.27,6.65%,Health Care,8.68B,5.91%,4.93%,15.62%,-65.00%,-11.23,-0.47
MINT SP Equity,MAPLETREE INDUST,10.91M,17.39,1.12,19.2,6.33%,Real Estate,5.71B,5.75%,5.13%,52.57%,-3.98%,-3.62,0.2
688139 CH Equity,QINGDAO HAIER -A,10.91M,38.4,2.18,56.39,5.73%,Health Care,9.67B,2.60%,4.27%,3.95%,-2.56%,-7.79,-0.66
688306 CH Equity,NINGBO PIA AUT-A,10.81M,4.15k,6.08,--,0.15%,Industrials,11.01B,0.02%,1.14%,64.86%,50.13%,-35.07,-0.37
603072 CH Equity,BAOTOU TIANHE -A,10.80M,52.86,4.68,27.59,8.37%,Industrials,9.64B,1.89%,5.96%,28.68%,-19.16%,-28.14,-22.13
002572 CH Equity,SUOFEIYA HOME-A,10.74M,10.65,1.67,28.89,15.95%,Consumer Discretionary,12.05B,9.39%,9.34%,35.74%,-13.79%,-1.18,-2.97
002668 CH Equity,GUANGDONG TCL SM,10.71M,8.67,2.75,5.41,37.69%,Consumer Discretionary,9.76B,11.53%,22.59%,94.57%,-22.97%,-8.26,-0.6
301600 CH Equity,FLAIRCOMM MICR-A,10.64M,60.07,8.43,110.99,14.04%,Information Technology,10.60B,1.66%,12.31%,8.02%,-55.07%,-23.43,6.53
002233 CH Equity,GUANGDONG TAPA-A,10.64M,17.7,0.94,20.03,5.29%,Materials,11.08B,5.65%,3.63%,0.25%,-2.40%,3.17,1.91
002302 CH Equity,CHINA WEST CON-A,10.45M,--,0.91,--,-8.66%,Materials,7.23B,-10.09%,-3.91%,42.74%,-128.25%,-19.41,-0.2
603219 CH Equity,NINGBO FUJIA I-A,10.42M,88.58,5.73,--,6.69%,Consumer Discretionary,9.28B,1.13%,5.64%,33.82%,-80.77%,-10.02,3.18
603337 CH Equity,JACK TECHNOLOG-A,10.39M,20.99,3.77,22.01,18.49%,Industrials,18.51B,4.76%,15.34%,12.36%,6.24%,-14.48,12.66
603195 CH Equity,GONEO GROUP CO-A,10.39M,18.86,4.79,18.6,26.13%,Industrials,75.06B,5.30%,22.43%,7.98%,-9.53%,-8.04,-7.52
688289 CH Equity,SANSURE BIOTEC-A,10.39M,38.62,1.48,--,3.78%,Health Care,10.56B,2.59%,2.69%,15.37%,-33.82%,-14.78,-0.75
002061 CH Equity,ZHEJIANG COMMU-A,10.34M,8.6,0.66,4.04,7.78%,Industrials,10.48B,11.63%,4.18%,79.24%,-46.70%,-10.5,0.16
301665 CH Equity,CAC NANTONG CH-A,10.33M,32.56,3.54,--,10.91%,Materials,12.10B,3.07%,9.41%,41.74%,64.89%,-8.73,17.15
000828 CH Equity,DONGGUAN DEVEL-A,10.25M,12.38,1,10.51,8.23%,Industrials,10.20B,8.08%,3.55%,46.59%,6.86%,-18.32,0.11
300463 CH Equity,MACCURA BIO-A,10.23M,--,1.03,--,-1.83%,Health Care,6.53B,-1.78%,-0.67%,16.16%,-97.28%,-6.82,-0.98
300341 CH Equity,MOTIC XIAM ELE-A,10.22M,40.99,3.9,531.48,9.90%,Industrials,7.51B,2.44%,8.29%,1.26%,19.63%,-22.02,-0.13
300783 CH Equity,THREE SQUIRREL-A,10.15M,32.19,2.48,--,7.87%,Consumer Staples,7.38B,3.11%,4.84%,23.94%,-80.89%,-24.34,-10.9
600993 CH Equity,MAYINGLONG PHA-A,10.11M,19.2,2.55,--,13.77%,Health Care,10.96B,5.21%,11.68%,5.59%,1.17%,-8.59,-0.48
301268 CH Equity,SHENZHEN MINGL-A,10.10M,--,4.82,--,-19.74%,Industrials,8.68B,-4.78%,-6.62%,170.19%,-139.89%,-7.51,6.26
002101 CH Equity,HONGTU TECHNOL-A,10.06M,20.43,0.94,--,4.63%,Industrials,7.31B,4.89%,3.57%,31.69%,6.06%,-18.63,0.38
301091 CH Equity,SHENZHEN URBAN-A,10.03M,125.75,4.72,86.99,3.85%,Industrials,11.17B,0.80%,3.52%,7.20%,-23.79%,-38.77,-4.82
301061 CH Equity,MOTOMOTION CHI-A,10.01M,16.95,3.85,24.12,24.85%,Consumer Discretionary,15.51B,5.90%,19.26%,14.68%,44.19%,-22.96,26.15
688007 CH Equity,APPOTRONICS CO-A,9.93M,--,2.55,2.63k,-5.65%,Information Technology,6.63B,-2.31%,-2.46%,31.51%,-51.92%,-30.34,0
