Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
300428 CH Equity,LIZHONG SITONG-A,20.82M,15.97,1.71,--,11.19%,Materials,14.55B,6.26%,4.66%,160.30%,137.03%,-14.05,6.06
600789 CH Equity,SHANDONG LUK-A,20.76M,39.14,1.89,--,4.81%,Health Care,8.70B,2.56%,3.24%,79.40%,-28.54%,-15.87,-1.59
300181 CH Equity,ZHEJIANG JOLLY-A,20.69M,18.37,3.52,654.44,20.86%,Health Care,10.98B,5.44%,16.94%,25.41%,13.15%,-13.91,-0.29
000902 CH Equity,YONFER AGRICUL-A,20.65M,12.67,1.72,206.66,14.37%,Materials,19.90B,7.89%,11.76%,18.37%,14.05%,8.7,2.72
002832 CH Equity,BIEM.L.FDLKK G-A,20.57M,15.54,1.81,122.45,12.09%,Consumer Discretionary,9.91B,6.44%,10.59%,12.96%,-27.35%,9.26,0.72
688432 CH Equity,GRINM SEMICOND-A,20.52M,85.88,3.97,109.55,4.72%,Information Technology,17.97B,1.16%,5.02%,1.04%,55.65%,7.96,3.56
002987 CH Equity,NORTHKING INFO-A,20.51M,42.71,4.88,38.05,11.73%,Information Technology,14.20B,2.34%,10.65%,5.50%,14.84%,-22.01,4.88
600480 CH Equity,LINGYUN INDUST-A,20.49M,16.06,1.54,11.64,9.79%,Consumer Discretionary,11.99B,6.23%,7.51%,32.59%,52.68%,-28.55,0.16
301522 CH Equity,SHANGDA SUPERA-A,20.45M,99.09,6.12,--,7.17%,Materials,11.57B,1.01%,4.79%,63.41%,-62.18%,-5.67,-1.38
600133 CH Equity,EAST LAKE HIGH-A,20.42M,25.33,1.11,--,4.45%,Industrials,9.76B,3.95%,-0.94%,58.44%,-85.67%,-10.21,0.35
600621 CH Equity,SHANGHAI CHINA-A,20.25M,23.16,1.6,3.4,7.21%,Financials,14.70B,4.32%,0.05%,227.16%,368.54%,-16.86,1.27
002807 CH Equity,JIANGSU JIANGY-A,20.15M,5.11,0.58,--,11.90%,Financials,11.17B,19.58%,7.39%,100.52%,0.14%,3.43,0.66
002681 CH Equity,SHENZHEN FENDA-A,20.15M,--,4.18,22.53,-1.82%,Consumer Discretionary,9.53B,-0.46%,-1.02%,55.33%,-91.95%,-24.79,-1.35
000712 CH Equity,GUANGDONG GOLD-A,20.14M,57.68,3.61,--,6.45%,Financials,9.16B,1.73%,-2.60%,203.67%,8.06%,-30.19,-0.83
002458 CH Equity,SHANDONG YISHE-A,20.11M,61.6,2.36,50.17,3.76%,Consumer Staples,10.43B,1.62%,3.11%,43.56%,-32.91%,9.14,-0.42
300415 CH Equity,YIZUMI HOLDIN-A,20.09M,16.98,3.75,429.81,23.20%,Industrials,11.70B,5.89%,12.47%,99.32%,22.41%,-2.8,6.55
300079 CH Equity,SUMAVISION TEC-A,20.09M,280.23,1.76,40.39,0.63%,Information Technology,7.57B,0.36%,-1.22%,2.75%,-72.44%,-9.85,0.5
968 HK Equity,XINYI SOLAR HLDS,20.00M,30.38,0.92,--,2.78%,Information Technology,27.53B,3.29%,-15.25%,37.55%,-46.54%,-16.16,0.57
603103 CH Equity,HENGDIAN ENTER-A,20.00M,89.95,11.54,20.15,13.24%,Communication Services,14.29B,1.11%,8.04%,119.12%,70.72%,48.33,6.72
600508 CH Equity,SHANGHAI DATUN-A,19.94M,42.86,0.74,--,1.73%,Energy,9.30B,2.33%,1.39%,18.70%,-67.68%,2.39,1.43
CLI SP Equity,CAPITALAND INVES,19.87M,93,1.11,22.3,1.11%,Real Estate,13.93B,1.08%,1.03%,61.73%,-3.77%,4.1,0.51
301175 CH Equity,BEIJING CHINA -A,19.84M,23.82,2.46,--,10.48%,Industrials,9.10B,4.20%,7.41%,66.90%,36.02%,15.49,0.86
603997 CH Equity,NINGBO JIFENG -A,19.74M,35.71,3.01,88.87,9.07%,Consumer Discretionary,16.13B,2.80%,4.95%,144.70%,372.47%,-2.31,2.08
002139 CH Equity,SHENZHEN TOPBA-A,19.70M,41.1,2.16,--,5.33%,Information Technology,15.06B,2.43%,3.45%,49.29%,-72.66%,-21.41,-0.11
688567 CH Equity,FARASIS ENERGY-A,19.69M,--,1.63,--,-4.20%,Industrials,15.72B,-2.60%,-1.34%,80.33%,-95.74%,-30.11,1.19
688484 CH Equity,SOUTHCHIP SEMI-A,19.65M,67.37,3.73,--,5.69%,Information Technology,15.38B,1.48%,3.96%,7.99%,-21.78%,-28.19,5.92
600285 CH Equity,HENAN LINGRUI-A,19.63M,15.52,3.82,13.3,26.04%,Health Care,12.42B,6.44%,22.20%,15.99%,7.33%,-3.52,-0.13
